id,name,commonname,lf,match_strategy,pollination_syndrome,pollination_system,flower_colour,flowering_time,flower_diameter,fruit_type,fruit_colour,fruit_fleshiness,fruiting_time,dispersal_syndrome,dispersers,plant_growth_form,plant_height,woodiness,leaf_phenology
222,Gonocarpus teucrioides s.l.,Germander Raspwort,MH,via_original_name,abiotic,,,ynnnnnnnnyyn,,,,,,zoochory,invertebrates,herb,,,
223,Goodenia geniculata,Bent  Goodenia,MH,exact_taxon,insect,biotic_unspecialised,,"ynnnnnnnnyyy, ynnnnnnnyyyy, yyyyyyyyyyyy",,capsule,,dry,ynnnnnnnnyyy,"anemochory, myrmecochory, zoochory","invertebrates, wind",herb,0.15000000000000002,herbaceous,evergreen
224,Goodenia hederacea,Ivy Goodenia,MH,exact_taxon,insect,,red_brown yellow_orange,"yynnnnnnyyyy, yynnnnnyyyny",,capsule,,dry,,zoochory,invertebrates,herb,0.55,,
225,Goodenia lanata,Trailing Goodenia,SH,exact_taxon,insect,biotic_unspecialised,,"nnnnnnnnnyyy, yyynnnnnyyyy, yyynnyyyyyyy",,capsule,,dry,yyynnyyyyyyy,"anemochory, myrmecochory, zoochory","invertebrates, wind",herb,0.2,herbaceous,evergreen
226,Goodenia ovata,Hop Goodenia,MS,exact_taxon,insect,biotic_unspecialised,red_brown yellow_orange,"nnnnnnnnnyyy, yyynnnnnnyyy, yyyyyynnyyyy, yyyyyyyyyyyy",,capsule,,dry,yyyyyynnyyyy,"anemochory, myrmecochory, zoochory","ants, invertebrates, wind","herb, shrub, shrub subshrub",2.0,woody,evergreen
227,Goodenia pinnatifida,Cut-leaf Goodenia,MH,exact_taxon,insect,biotic_unspecialised,"white_cream yellow_orange, yellow_orange","nnnnnnnnyyyy, nnnnyyyyyyny, nnnnyyyyyyyn, nnnnyyyyyyyy, nnnyyyyyyyyn, nnyyynnnnyyn",,capsule,,dry,nnnnnnnnyyyy,"anemochory, myrmecochory, zoochory","invertebrates, wind",herb,0.375,,evergreen
228,Goodenia pusilliflora,Small-flower Goodenia,MH,exact_taxon,insect,,red_brown white_cream yellow_orange,"nnnnnnnyyynn, nnnnnnyyyynn, nnnnnyyyyyyn",,capsule,,dry,,"anemochory, zoochory","invertebrates, wind",herb,0.1203535715,,
229,Goodenia spp.,Goodenia,MH,via_original_name,insect,,,nnnnnnnnyyyn,,,,,,zoochory,invertebrates,herb,,,
230,Goodia lotifolia,Golden Tip,MS,exact_taxon,insect,biotic_unspecialised,yellow_orange,nnnnnnnnyyyn,,"capsule, legume",,dry,,"barochory myrmecochory, myrmecochory, zoochory","ants, ants passive, invertebrates","shrub, shrub tree",4.0,woody,evergreen
231,Grevillea alpina,Cat's Claw Grevillea,MS,exact_taxon,"bird insect mammal, insect vertebrate",biotic_unspecialised,green white_cream yellow_orange,"nnnnnnnyyyyy, nnnnnnyyyyyy, nnnnnyyyyyyy, yynnnyyyyyyy",,follicle,,dry,,"barochory, barochory myrmecochory, zoochory","ants passive, invertebrates",shrub,2.0,woody,evergreen
232,Grevillea aquifolium,Variable Prickly Grevillea,SC,exact_taxon,"bird insect mammal, insect vertebrate",,,"nnnnnnnnyyyy, nnnnnnnyyynn, nnnnnnnyyyyn, ynnnnnnyyyyy",,follicle,,dry,,"barochory myrmecochory, myrmecochory, zoochory","ants passive, invertebrates","climber, shrub",1.5,woody,evergreen
233,Hakea mitchellii,Desert Hakea,MS,exact_taxon,"insect, insect vertebrate",,,ynnnnnnnnyyy,,follicle,black,dry,,anemochory,wind,shrub,4.0,woody,evergreen
234,Hakea sericea s.l.,Bushy  Needlewood,MS,via_original_name,insect vertebrate,,,nnnnnnyyyynn,,,,,,anemochory,wind,shrub,,,
235,Hakea tephrosperma,Needlewood,MS,exact_taxon,"insect, insect vertebrate",,green white_cream,"nnnnnnnnyynn, nnnnnnnnyyyn",,follicle,yellow,dry,,anemochory,wind,"shrub, shrub tree, tree",5.0,woody,evergreen
236,Haloragis heterophylla,Varied Raspwort,LH,exact_taxon,"abiotic, wind",abiotic,red_brown,yynnnnnnyyyy,,nut,,dry,,"anemochory hydrochory, endozoochory, undefined, zoochory","invertebrates, water wind",herb,0.1591,herbaceous,
237,Hardenbergia violacea,Purple  Coral-pea,SC,exact_taxon,insect,biotic_unspecialised,"blue_purple, blue_purple yellow_orange","nnnnnnnnyynn, nnnnnnnnyyyn, nnnnnnnyyynn, nnnnnnnyyyyn, nnnnnnyyyynn",,"capsule, legume",brown,dry,,"barochory myrmecochory, myrmecochory, zoochory","ants, ants passive, invertebrates","climber, climber_herbaceous, climber_herbaceous herb subshrub, shrub, subshrub",0.3,"herbaceous, woody",evergreen
238,Helichrysum scorpioides,Button Everlasting,MH,via_original_name,,biotic_unspecialised,red_brown yellow_orange,nnnnnnnnyyyn,,achene,,dry,yyyyyyyynnny,anemochory,,"herb, herb subshrub",0.42000000000000004,herbaceous,
239,Hemarthria uncinata var. uncinata,Mat Grass,MNG,exact_taxon,"abiotic, wind",,,yynnnnnnnnny,,caryopsis,,dry,,"anemochory, epizoochory",mammals,"graminoid, graminoid herb, graminoid_not_tussock, herb, tussock",0.8,,
240,Hibbertia acicularis,Prickly Guinea-flower,PS,exact_taxon,insect,biotic_unspecialised,yellow_orange,"nnnnnnnnnyyy, yynnnnnnyyyy",,follicle,,dry,nnnnnnnnnyyy,"myrmecochory, zoochory",invertebrates,"shrub, subshrub",0.3,woody,evergreen
241,Hibbertia empetrifolia s.l.,Tangled Guinea-flower,SS,via_original_name,insect,,,yynnnnnyyyyy,,,,,,zoochory,invertebrates,shrub,,,
242,Hibbertia exutiacies,Spiky Guinea-flower,SS,exact_taxon,insect,,,yynnnnnnyyyn,,follicle,,dry,,"barochory myrmecochory, zoochory","ants passive, invertebrates",shrub,0.5,woody,
244,Hibbertia fasciculata var. prostrata,Bundled  Guinea-flower,SS,via_original_name,insect,,,nnnnnnnnyyyy,,follicle,,,,zoochory,invertebrates,shrub,,,
245,Hibbertia obtusifolia,Grey Guinea-flower,SS,exact_taxon,insect,biotic_unspecialised,yellow_orange,"nnnnnnnnyyyy, yynnnnnnyyyy",,follicle,,dry,nnnnnnnnyyyy,"myrmecochory, zoochory","ants, invertebrates","shrub, subshrub",0.6,woody,evergreen
246,Hibbertia riparia,Erect Guinea-flower,SS,exact_taxon,insect,biotic_unspecialised,yellow_orange,"nnnnnnnnyyyy, nnnnyyyyyyyy, nnnyynnnnnnn, yynnnnnnyyyy",,follicle,,dry,ynnnnnnyyyyy,"barochory myrmecochory, myrmecochory, undefined, zoochory","ants, ants passive, invertebrates",shrub,0.95,woody,evergreen
247,Hibbertia sericea s.l.,Silky Guinea-flower,SS,via_original_name,insect,,,nnnnnnnyyyyy,,,,,,zoochory,invertebrates,shrub,,,
248,Hibbertia stricta s.l.,Upright  Guinea-flower,SS,via_original_name,insect,,,nnnnnnnnyyyy,,,,,,zoochory,invertebrates,shrub,,,
249,Hibbertia virgata,Twiggy Guinea-flower,SS,exact_taxon,insect,,yellow_orange,"nnnnnnnnyyyn, nnnnnnnyyyyn, nnnnnnnyyyyy",,follicle,,dry,nnnnnnnyyyyn,"barochory myrmecochory, zoochory","ants passive, invertebrates",shrub,1.5,woody,evergreen
250,Hovea heterophylla,Common  Hovea,SS,exact_taxon,insect,biotic_unspecialised,,"nnnnnnnyyynn, nnnnnnyyyyyn",,legume,,dry,,"barochory myrmecochory, myrmecochory, zoochory","ants passive, invertebrates","shrub, subshrub",1.0,woody,
251,Hyalosperma demissum,Moss Sunray,SH,exact_taxon,insect,biotic_unspecialised,green red_brown white_cream,"nnnnnnnnyyyn, nnnnnnnyyyyn, nnnnyyyyyynn",,achene,brown,dry,,anemochory,wind,herb,0.018059437499999997,herbaceous,
252,Hydrocotyle callicarpa,Small  Pennywort,MH,exact_taxon,insect,biotic_unspecialised,blue_purple white_cream,"nnnnnnnnyyyn, nnnnnnnyyyyn, nnnnyyyyyynn",,mericarp,black,dry,,"barochory, undefined, zoochory","invertebrates, passive",herb,0.08,herbaceous,
253,Hydrocotyle foveolata,Yellow  Pennywort,MH,exact_taxon,insect,biotic_unspecialised,,nnnnnnnnyyyn,,mericarp,"black brown red, brown red",dry,,"barochory, undefined, zoochory","invertebrates, passive",herb,0.1,herbaceous,
254,Hydrocotyle hirta,Hairy  Pennywort,MH,exact_taxon,insect,biotic_unspecialised,,"yyynnnnnnnnn, yyyyynnnnnny",,mericarp,brown red,dry,,"anemochory, barochory, zoochory","invertebrates, passive",herb,0.05,herbaceous,
255,Hydrocotyle laxiflora,Stinking  Pennywort,SH,exact_taxon,insect,biotic_unspecialised,green,"nnnnnnnnyyyy, yyyynnnnnyyy",,mericarp,,dry,yyyyynnnnnny,"barochory, undefined, zoochory","invertebrates, passive",herb,0.15,herbaceous,
256,Hydrocotyle sibthorpioides,Shining  Pennywort,SH,exact_taxon,insect,biotic_unspecialised,,"nnnnnnnnnynn, nnnnnnnnyyyy, yyynnnnnyyyy, yyyyynnnyyyy",,mericarp,,dry,nnyyynnnnnnn,"barochory, undefined, zoochory","invertebrates, passive",herb,0.1,herbaceous,
257,Hymenanthera dentata s.l.,Tree Violet,MS,via_original_name,,,,,,,,,,endozoochory,,,,,
258,Hypericum gramineum,Small St John's Wort,MH,exact_taxon,insect,biotic_unspecialised,yellow_orange,"nnnnnnnnnyyy, nnnnnnnnyyyy, yyyyyyyyyyyy",,capsule,,dry,yyyyyyyyyyyy,"anemochory, anemochory barochory, barochory, zoochory","invertebrates, wind","herb, shrub",0.4,herbaceous,evergreen
259,Hypolaena fastigiata,Tassel Rope-rush,MNG,exact_taxon,"abiotic, wind",abiotic,red_brown,"nnnnnnnnyyyn, nnnnnnnnyyyy, yynnnnnnyyyy, yyyyyyyyyyyy",,nut,,dry,,"anemochory, barochory, zoochory","invertebrates, wind","graminoid, graminoid herb, graminoid_not_tussock, herb",0.37,herbaceous,
260,Hypoxis glabella var. glabella,Tiny Star,TTG,via_original_name,insect,,,"nnnnnnyyynnn, yynnnnnyyyyy",,capsule,,,,barochory,,herb,0.11,,evergreen
261,Imperata cylindrica,Blady Grass,MNG,exact_taxon,"abiotic, self wind, wind",abiotic,"red_brown white_cream, white_cream","yynnnnnnnnny, yynnnnnnnnyy, yyyyynnnnnnn",,caryopsis,,dry,,anemochory,wind,"graminoid, graminoid herb, herb, tussock",0.9,herbaceous,
262,Indigofera australis,Austral Indigo,MS,exact_taxon,insect,biotic_unspecialised,red_brown,"nnnnnnnnyyyn, nnnnnnnyynnn",,"capsule, legume",brown,dry,,"anemochory ballistic, barochory, undefined, zoochory","ants, invertebrates, wind",shrub,2.0,woody,
263,Isoetopsis graminifolia,Grass Cushion,SH,exact_taxon,insect,biotic_unspecialised,"green, red_brown white_cream yellow_orange, white_cream","nnnnnnnyyyyn, nnnnnyyyyynn, nnnnnyyyyyyn",,achene,brown,dry,,"anemochory, barochory",wind,herb,0.05,herbaceous,
264,Isolepis inundata,Swamp  Club-sedge,MTG,exact_taxon,"abiotic, wind",abiotic,,"nnnnnnnnnyyy, nnnnnnnyyyyy, yynnnnnnyyyy",,nut,"brown red yellow, yellow",dry,,"barochory, epizoochory, zoochory","abiotic animals, birds","graminoid, graminoid herb, herb, tussock",0.4,herbaceous,
265,Isolepis marginata,Little Club-sedge,TTG,exact_taxon,abiotic,abiotic,,"nnnnnnnnyyyn, ynnnyyyyyyyy, yyyyyyyyyyyy",,nut,"black brown green yellow, brown yellow",dry,,"barochory, epizoochory",birds,"graminoid, graminoid herb, herb, tussock",0.02,herbaceous,
266,Isopogon ceratophyllus,Horny  Cone-bush,SS,exact_taxon,"insect, insect vertebrate",biotic_unspecialised,,ynnnnnyyyyyy,,"nut, nut strobilus",,dry,,"anemochory, barochory, undefined",wind,shrub,1.0,woody,
267,Joycea pallida,Silvertop Wallaby-grass,MTG,via_original_name,,abiotic,green yellow_orange,yynnnnnnyyyy,,caryopsis,,,,epizoochory,,"herb, tussock",,,
268,Juncus continuus,Pithy Rush,LTG,exact_taxon,"abiotic, insect wind",,red_brown,"ynnnnnnnnnny, yynnnnnnyyyy, yyyyyyyyyyyy",,capsule,brown yellow,dry,,"epizoochory, hydrochory","birds, water","graminoid, graminoid herb, herb, tussock",,,
269,Juncus flavidus,Gold Rush,LTG,exact_taxon,"abiotic, insect wind",,red_brown yellow_orange,"nnnnnnnnnyyy, ynnnnnnnnnyy, yynnnnnnyyyy",,capsule,brown yellow,dry,,"epizoochory, hydrochory","birds, water","graminoid, graminoid herb, tussock",1.05,,
270,Juncus pallidus,Pale Rush,LTG,exact_taxon,"abiotic, insect wind",abiotic,red_brown yellow_orange,"nnnnnnnnnyyy, ynnnnnnnnyyy, ynnnnnnyyyyy, yynnnnnnyyyy",,capsule,brown yellow,dry,,"barochory, epizoochory, hydrochory, undefined","birds, water","graminoid, graminoid herb, herb, tussock",2.0,herbaceous,
271,Juncus procerus,Tall Rush,LTG,exact_taxon,"abiotic, insect wind",abiotic,red_brown,"nnnnnnnnnyyy, yynnnnnnyyyy",,capsule,"brown red, brown yellow",dry,,"barochory, epizoochory, hydrochory","birds, water","graminoid, graminoid herb, herb, tussock",1.975,herbaceous,
272,Juncus spp.,Rush,MTG,via_original_name,abiotic,,,yyyyyyyyyyyy,,,,,,epizoochory,birds,tussock,,,
273,Kennedia prostrata,Running  Postman,SH,exact_taxon,insect,biotic_unspecialised,yellow_orange,"nnnnnnnyyyyn, nyyyyyyyyynn",,legume,brown,dry,,"barochory myrmecochory, myrmecochory, undefined, zoochory","ants, ants passive, invertebrates","climber, climber_woody shrub, herb, shrub",0.1,herbaceous,
274,Kunzea ericoides,Burgan,MS,exact_taxon,insect,biotic_unspecialised,white_cream,"yynnnnnnnnyy, yynnnnnnyyyy, yyynnnnnnnny",,capsule,,dry,nnyyyyyynnnn,"anemochory, barochory",wind,"shrub, shrub tree, tree",5.0,woody,evergreen
275,Lachnagrostis  filiformis,Common Blown-Grass,MTG,species_level_fallback,"abiotic, self wind, wind",abiotic,blue_purple green,"nnnnnnnnnyyy, ynnnnnnnyyyy, yynnnnnnyyyy",,caryopsis,,dry,yynnnnnnnnny,"anemochory, anemochory epizoochory, barochory",wind,"graminoid, graminoid herb, herb, tussock",0.7,herbaceous,
276,Lagenophora stipitata,Common Bottle-daisy,MH,exact_taxon,insect,biotic_unspecialised,"blue_purple, blue_purple pink white_cream, pink, white_cream","nnnnnnnnnyyy, yynnnnnnyyyy, yyyyynnnyyyy",,achene,"brown, brown purple",dry,,"anemochory, barochory, zoochory","invertebrates, wind",herb,0.195,herbaceous,
277,Lepidobolus  drapetocoleus,Scale Shedder,MNG,species_level_fallback,"abiotic, wind",,,yyyyyyynnyyy,,nut,,dry,,"anemochory, zoochory","invertebrates, wind","graminoid, graminoid herb, graminoid_not_tussock",0.3,,
278,Lepidobolus drapetocoleus,Scale  Shedder,MNG,exact_taxon,"abiotic, wind",,,yyyyyyynnyyy,,nut,,dry,,"anemochory, zoochory","invertebrates, wind","graminoid, graminoid herb, graminoid_not_tussock",0.3,,
279,Lepidosperma  carphoides,Black Rapier-sedge,MTG,species_level_fallback,"abiotic, insect wind",,,"nnnnnnnnyyyn, nnynnnnnnnnn",,nut,"brown red, brown red white",dry,,"barochory myrmecochory, zoochory","ants passive, invertebrates","graminoid, graminoid herb, tussock",0.4,,
280,Lepidosperma  viscidum,Sticky Sword-sedge,MTG,species_level_fallback,"abiotic, insect wind",,red_brown,"nnnnnnnnyyyn, nnnyyyyyyynn, yynnnnnnnnny, yynnnnnnyyyy, yyyyyyyyyyyy",,nut,"brown, brown red, yellow",dry,,"barochory myrmecochory, myrmecochory, zoochory","ants, ants passive, invertebrates","graminoid, graminoid herb, herb, tussock",0.7,herbaceous,
281,Lepidosperma carphoides,Black Rapier-sedge,MTG,exact_taxon,"abiotic, insect wind",,,"nnnnnnnnyyyn, nnynnnnnnnnn",,nut,"brown red, brown red white",dry,,"barochory myrmecochory, zoochory","ants passive, invertebrates","graminoid, graminoid herb, tussock",0.4,,
282,Lepidosperma concavum,Sandhill  Sword-sedge,MTG,exact_taxon,abiotic,abiotic,red_brown white_cream,yynnnnnnyyyy,,nut,"brown, brown yellow",dry,,"barochory, zoochory",invertebrates,"graminoid, graminoid herb, herb, tussock",0.6,herbaceous,
283,Lepidosperma elatius,Tall  Sword-sedge,LTG,exact_taxon,"abiotic, insect wind",abiotic,red_brown white_cream,yynnnnnnyyyy,,nut,brown grey red,dry,,"barochory, barochory myrmecochory, myrmecochory, zoochory","ants, ants passive, invertebrates","graminoid herb, graminoid tussock, herb, tussock",0.65,herbaceous,
284,Lepidosperma filiforme,Common Rapier-sedge,MTG,exact_taxon,"abiotic, insect wind",abiotic,red_brown white_cream yellow_orange,"nnnnnnnnyyyn, yynnnnnnyyyy, yyyyynnnnnnn",,nut,brown green grey red,dry,,"barochory, barochory myrmecochory, myrmecochory, zoochory","ants, ants passive, invertebrates","graminoid, graminoid herb, herb, tussock",0.7,herbaceous,
285,Lepidosperma gladiatum,Coast Sword-sedge,MTG,exact_taxon,"abiotic, insect wind",,red_brown white_cream yellow_orange,"yynnnnnnyyyy, yyyyynnnnnyy",,nut,"brown, brown yellow",dry,,"barochory myrmecochory, zoochory","ants passive, invertebrates","graminoid, graminoid herb, herb, tussock",1.5,herbaceous,
286,Lepidosperma laterale,Variable Sword-sedge,MTG,exact_taxon,"abiotic, insect wind",abiotic,red_brown,"yynnnnnnyyyy, yyynnnnnyyyy, yyyyyyyyyyyy",,nut,brown,dry,,"barochory myrmecochory, myrmecochory, zoochory","ants, ants passive, invertebrates","graminoid, graminoid herb, herb, tussock",1.0,herbaceous,
287,Lepidosperma laterale var. laterale,Variable Sword-sedge,MTG,via_original_name,,,,,,,,,,,,,,,
288,Lepidosperma longitudinale,Pithy Sword-sedge,LNG,exact_taxon,"abiotic, insect wind",abiotic,red_brown white_cream,"nnnnnnnnyyyn, nnnnyyyyyynn, nyyyyyynnnnn, ynnnnnnnnnyy, yynnnnnnyyyy",,nut,brown,dry,,"barochory, barochory myrmecochory, zoochory","ants passive, invertebrates","graminoid, graminoid herb, graminoid_not_tussock, herb",0.91,herbaceous,
289,Lepidosperma semiteres,Wire  Rapier-sedge,MTG,exact_taxon,"abiotic, insect wind",abiotic,red_brown white_cream,yynnnnnnyyyy,,nut,green yellow,dry,,"barochory, barochory myrmecochory, zoochory","ants passive, invertebrates","graminoid, graminoid herb, herb, tussock",1.0,,
290,Leptinella filicula,Mountain Cotula,SH,exact_taxon,insect,,,yynnnnnnyyyy,,achene,brown,dry,,zoochory,invertebrates,herb,0.1,herbaceous,
291,Leptorhynchos  squamatus,Scaly Buttons,MH,species_level_fallback,insect,,"red_brown yellow_orange, yellow_orange","ynnnnnnnyyyy, yyyyynnnnnny",,achene,,dry,,anemochory,wind,herb,0.18445,herbaceous,
292,Leptorhynchos squamatus,Scaly Buttons,MH,exact_taxon,insect,,"red_brown yellow_orange, yellow_orange","ynnnnnnnyyyy, yyyyynnnnnny",,achene,,dry,,anemochory,wind,herb,0.18445,herbaceous,
293,Leptorhynchos tenuifolius,Wiry Buttons,MH,exact_taxon,insect,biotic_unspecialised,,yyyynnnnyyyy,,achene,,dry,,anemochory,wind,herb,0.35,,
294,Leptorhyncos  tenuifolius,Wiry Buttons,LH,manual_typo_fix,insect,biotic_unspecialised,,yyyynnnnyyyy,,achene,,dry,,anemochory,wind,herb,0.35,,
295,Leptospermum  coriaceum,Mallee Tea-tree,MS,species_level_fallback,insect,,white_cream,"nnnnnnnyyyyn, nnnnnyyyyynn",,capsule,,dry,,"anemochory, barochory zoochory","abiotic animals passive, wind",shrub,3.0,woody,
296,Leptospermum  myrsinoides,Heath Tea-tree,MS,species_level_fallback,insect,biotic_unspecialised,pink white_cream,"nnnnnnnnnyyn, nnnnnnnyyyyy",,capsule,,dry,,"anemochory, barochory zoochory, undefined","abiotic animals passive, wind",shrub,2.0,woody,
297,Leptospermum continentale,Prickly  Tea-tree,MS,exact_taxon,insect,biotic_unspecialised,pink white_cream,"ynnnnnnnnyyy, yynnnnnnyyyy",,capsule,,dry,,"anemochory, barochory zoochory, undefined","abiotic animals passive, wind",shrub,2.0,woody,
298,Leptospermum myrsinoides,Heath  Tea-tree,MS,exact_taxon,insect,biotic_unspecialised,pink white_cream,"nnnnnnnnnyyn, nnnnnnnyyyyy",,capsule,,dry,,"anemochory, barochory zoochory, undefined","abiotic animals passive, wind",shrub,2.0,woody,
299,Leptospermum scoparium,Manuka,MS,exact_taxon,insect,,pink white_cream,"yynnnnnnnyyy, yynnnnnnyyyy, yyynnnnnyyyy",,capsule,,dry,,anemochory,wind,"shrub, shrub tree",5.0,woody,
300,Leptostigma reptans,Dwarf  Nertera,SH,exact_taxon,"insect, wind",,white_cream,"ynnnnnnnnnyy, yynnnnnnyyyy",,drupe,red,fleshy,,"anemochory, endozoochory","birds, wind",herb,,,
301,Leucopogon costatus,Twiggy Beard-heath,SS,exact_taxon,insect,,,nnnnnnyyyynn,,drupe,,fleshy,,endozoochory,"birds, vertebrates",shrub,0.5,woody,
302,Leucopogon gelidus,Drooping Beard-heath,MS,exact_taxon,insect,,pink red_brown white_cream,"nnnnnnnnyyyy, yynnnnynyyyy",,drupe,"pink red, red",fleshy,,endozoochory,birds,shrub,1.75,woody,
303,Leucopogon hookeri,Mountain Beard-heath,SS,via_original_name,insect,,white_cream,"nnnnnnnyyyyn, ynnnnnnnnyny",,,,fleshy,,endozoochory,"birds, vertebrates",shrub,,woody,
304,Leucopogon lanceolatus var. lanceolatus,Lance Beard-heath,MS,via_original_name,insect,,,"nnnnnnnyyynn, yyyyyyyyyyyy",,drupe,red,,,"endozoochory, myrmecochory zoochory","ants vertebrates, birds",shrub,,,
305,Leucopogon parviflorus,Coast Beard-heath,MS,exact_taxon,insect,biotic_unspecialised,red_brown white_cream,"nnnnnnnnnnnn, nnnnnnnnyyyn, nnnnnnyyynnn, nyyyyyyyyynn, yyyyyyyyyyyy",,drupe,white,"dry, fleshy","ynnnnnnnyyyn, ynnynnnnnyny","endozoochory, myrmecochory, zoochory","birds, vertebrates","shrub, shrub tree, tree",2.5,woody,
306,Leucopogon rufus,Ruddy Beard-heath,SS,via_original_name,insect,,,"yynnnnnnnnny, yyynnnnnnnyy",,drupe,,fleshy,,endozoochory,birds,shrub,0.6,woody,
307,Leucopogon virgatus,Common Beard-heath,SS,exact_taxon,insect,biotic_unspecialised,white_cream,"nnnnnyyyyynn, nnnnnyyyyyyy, yyyyyyyyyyyy",,drupe,,fleshy,,"endozoochory, myrmecochory, undefined","birds, vertebrates",shrub,0.5,woody,
308,Leucopogon virgatus var. brevifolius,Common Beard-heath,SS,exact_taxon,insect,,,nnnnnnnnyyyn,,drupe,,,,endozoochory,birds,shrub,,,
309,Lindsaea linearis,Screw Fern,GF,exact_taxon,abiotic,abiotic,,,,,,,,"anemochory, barochory",wind,"fern, fern herb, herb",0.2,,
310,Lissanthe strigosa,Peach Heath,SS,exact_taxon,insect,biotic_unspecialised,"pink, pink white_cream, white_cream","nnnnnnnnynnn, nnnnnnnyynnn, nnnnnnnyyyyn",,drupe,white,fleshy,,"endozoochory, zoochory",vertebrates,shrub,0.7,woody,
311,Lissanthe strigosa ssp. subulata,Peach Heath,SS,via_original_name,,,,,,,,,,endozoochory,,,,,
312,Lobelia pedunculata s.l.,Matted Pratia,SH,via_original_name,insect,,,yynnnnnnnnyy,,,,,,"undefined, zoochory",invertebrates,herb,0.05,,
313,Lobelia pratioides,Poison Lobelia,SH,exact_taxon,insect,biotic_unspecialised,,ynnnnnnnnnyy,,capsule,,dry,,"barochory, undefined, zoochory","invertebrates, passive",herb,0.0679,herbaceous,
314,Lomandra filiformis,Wattle  Mat-rush,MTG,exact_taxon,insect,biotic_unspecialised,"white_cream yellow_orange, yellow_orange","nnnnnnnnnyyn, nnnnnnnnnyyy",,capsule,,dry,,"anemochory barochory myrmecochory zoochory, barochory, myrmecochory, undefined","abiotic animals ants birds passive wind, ants","graminoid, herb, tussock",0.43,,evergreen
315,Lomandra filiformis ssp. coriacea,Wattle  Mat-rush MTG,MTG,species_level_fallback,insect,biotic_unspecialised,"white_cream yellow_orange, yellow_orange","nnnnnnnnnyyn, nnnnnnnnnyyy",,capsule,,dry,,"anemochory barochory myrmecochory zoochory, barochory, myrmecochory, undefined","abiotic animals ants birds passive wind, ants","graminoid, herb, tussock",0.43,,evergreen
316,Lomandra filiformis ssp. filiformis,Wattle Mat-rush,MTG,species_level_fallback,insect,biotic_unspecialised,"white_cream yellow_orange, yellow_orange","nnnnnnnnnyyn, nnnnnnnnnyyy",,capsule,,dry,,"anemochory barochory myrmecochory zoochory, barochory, myrmecochory, undefined","abiotic animals ants birds passive wind, ants","graminoid, herb, tussock",0.43,,evergreen
317,Lomandra juncea,Desert Mat-rush,MTG,exact_taxon,insect,,,nnnnnnnyyynn,,capsule,,dry,,"anemochory barochory myrmecochory zoochory, barochory",abiotic animals ants birds passive wind,"graminoid_not_tussock, herb, tussock",,,
318,Lomandra longifolia,Spiny-headed  Mat-rush,LTG,exact_taxon,insect,biotic_unspecialised,blue_purple white_cream yellow_orange,"nnnnnnnnnyyy, nnnnnnnnynnn, nnnnnnnnyyyn, nnnnnnnyyyyy, nnyyyyyyyynn, yynnnnnnyyyy",,capsule,,dry,"nnnnnnyynnnn, yyyyyyyyyyyy","anemochory barochory myrmecochory zoochory, barochory, myrmecochory","abiotic animals ants birds passive wind, ants","graminoid, herb, tussock",1.0,herbaceous,evergreen
319,Lomandra multiflora ssp. multiflora,Many-flowered  Mat-rush,MTG,species_level_fallback,insect,,,"nnnnyyyyyyyy, ynnnnnnnyyyy, ynnnnyyyyyyy",,capsule,black,dry,,"anemochory barochory myrmecochory zoochory, barochory, myrmecochory",abiotic animals ants birds passive wind,"graminoid, herb, tussock",0.3,,
320,Lomandra nana,Dwarf Mat-rush,MTG,exact_taxon,insect,biotic_unspecialised,,"nnnnnnnyyyyy, yynnnnnnyyyy",,capsule,,dry,,"anemochory barochory myrmecochory zoochory, barochory, myrmecochory, undefined",abiotic animals ants birds passive wind,"herb, tussock",0.17,herbaceous,evergreen
321,Lomandra sororia,Small Mat-rush,MTG,exact_taxon,insect,,,nnnnnnnnyyyn,,capsule,,dry,,"anemochory barochory myrmecochory zoochory, barochory, undefined",abiotic animals ants birds passive wind,"herb, tussock",0.4,,evergreen
322,Lomatia fraseri,Tree Lomatia,T,exact_taxon,insect,biotic_unspecialised,white_cream,yynnnnnnnnny,,follicle,"black, black grey",dry,yyyyyynnnnnn,anemochory,wind,"shrub, shrub tree, tree",8.0,woody,evergreen
323,Lomatia ilicifolia,Holly Lomatia,SS,exact_taxon,insect,,yellow_orange,"nnnnnnnnyyyn, yynnnnnnnnny, yynnnnnnnnyy, yyynnnnnnnny",,follicle,"brown, brown grey",dry,,anemochory,wind,shrub,2.25,woody,evergreen
324,Luzula campestris spp. agg.,Field  Woodrush,MNG,via_original_name,abiotic,,,yynnnnnnnnyy,,,,,,zoochory,invertebrates,graminoid_not_tussock,,,
325,Luzula meridionalis,Common  Woodrush,MTG,exact_taxon,"abiotic, insect wind",abiotic,red_brown white_cream,"nnnnnnnnyyyy, nnnnnnnyynnn, yynnnnnnyyyy",,capsule,"brown, brown red, brown red yellow",dry,,"barochory myrmecochory, myrmecochory, undefined, zoochory","ants passive, invertebrates","graminoid, graminoid herb, herb, tussock",0.3,herbaceous,
326,Luzula meridionalis var. densiflora,Common  Woodrush,MTG,via_original_name,abiotic,,,yynnnnnnnnyy,,capsule,brown red,,,zoochory,invertebrates,"graminoid herb, tussock",,,
327,Luzula meridionalis var. flaccida,Common  Woodrush,MTG,via_original_name,abiotic,,,yynnnnnnyyyy,,capsule,brown yellow,,,zoochory,invertebrates,"graminoid herb, tussock",,,
